sig_cutted,sig_cutted2
205.5411,24.74707
227.5095,28.066
202.8292,26.91739
194.5065,26.59344
193.1402,25.11774
184.1613,22.69334
161.4261,20.78046
166.7526,20.09266
156.5208,20.2172
148.7107,19.91746
145.4067,22.601
149.8186,24.49622
148.7868,25.53576
141.8463,27.29064
140.5839,27.48018
125.1667,26.08563
109.0102,25.58184
104.1442,25.86828
95.3353,26.50399
93.25567,27.12225
109.5244,29.43932
123.8568,29.05108
140.4973,27.86215
159.6262,27.6107
186.6994,26.70375
186.3677,25.2585
186.8544,25.50064
182.0891,25.10418
154.3264,23.24112
130.9334,21.95937
108.8848,22.00939
92.5166,20.28176
77.37048,21.15847
81.49303,23.32413
83.43903,23.1612
89.66256,22.93252
96.2271,23.85598
101.7307,23.63482
103.8927,21.46127
106.5616,23.37686
112.6932,22.1924
120.487,21.42362
129.2176,22.85853
139.5955,21.29209
147.119,21.29781
147.9925,21.65791
141.4289,20.87029
147.5485,20.75665
145.5123,21.36534
161.3278,22.54624
179.6516,24.40001
182.497,23.46243
201.6416,25.70651
169.4367,23.40742
165.7569,23.99512
130.704,22.95285
105.0499,23.01864
102.172,24.02582
85.54565,25.18683
89.9254,24.69679
117.3249,24.98212
126.1699,25.8791
155.4028,24.82204
196.3266,26.24682
195.8184,24.87026
200.8209,26.01279
210.1529,26.5773
193.3919,26.13435
171.76,27.1267
179.87,28.03979
163.7917,27.08789
142.7877,25.64598
141.5395,25.74983
120.7371,22.94922
103.4923,23.02631
110.9099,21.69575
109.4987,21.12607
110.3584,21.93481
127.9732,21.49374
120.4551,22.28152
120.4332,23.49533
137.6059,25.31917
157.7137,28.09102
166.2403,29.07651
197.7041,31.30777
199.5342,31.44207
178.0649,31.26929
168.0667,30.36231
140.7868,30.45934
127.8004,27.9872
118.6739,28.11852
116.3592,26.44008
132.824,24.02291
124.7994,24.36531
139.3814,23.01955
133.6303,23.99815
141.1835,23.9324
142.4828,23.95989
122.3616,22.24332
129.9892,21.82116
131.1257,20.6804
132.7086,20.01164
133.5863,20.24666
137.3139,19.68939
125.8854,19.2132
134.0341,20.62132
142.0725,21.6983
144.8284,23.66228
188.5873,26.68251
194.0791,27.82046
197.0796,26.85454
195.0362,27.64127
181.5949,28.25021
163.5137,29.74881
145.8755,33.24873
137.8433,35.85547
127.0417,36.11094
124.6493,35.48013
131.1623,32.93738
137.3928,29.65891
154.2355,29.00289
163.6292,26.38537
184.2229,28.75291
164.1419,26.32078
162.0714,27.35225
145.0246,26.49683
124.7641,25.63332
110.6925,25.27643
104.9092,24.54301
111.9232,24.32908
123.938,25.83792
131.5533,26.10816
173.9539,28.0469
179.5593,27.68968
195.9688,26.38588
188.8471,23.60566
189.5315,21.47598
159.8228,21.23954
132.7,20.0119
108.9096,21.81585
88.33913,24.33839
87.50252,23.51024
101.2905,25.35883
127.3443,26.32562
163.2577,26.92827
207.8787,29.93786
205.067,30.95268
207.3171,31.37019
191.8256,31.57689
158.2282,30.26424
132.4459,29.03482
115.7108,28.00248
103.3983,26.75682
104.5737,25.96067
119.7482,24.10245
137.9632,23.79239
164.448,23.02715
170.6883,23.00246
190.3577,24.84442
187.0178,25.53527
172.6161,24.11794
155.4327,24.14554
144.4319,25.02181
115.1362,24.38671
105.4572,25.7634
95.16206,27.87369
82.02068,27.90878
86.61327,28.4923
101.2864,28.11442
123.3683,28.54113
162.9082,29.85456
205.122,32.07944
250.9265,34.36948
282.7615,36.53464
280.0105,35.15093
295.5536,34.63829
260.7735,31.17485
212.4098,26.68392
182.0081,24.50817
138.3877,21.5245
111.2023,20.27764
103.2974,20.1269
123.9636,23.33727
150.1409,26.84613
175.7581,30.45192
219.2853,34.78738
221.5329,35.57121
208.1123,34.19413
195.9302,33.73202
150.9822,30.8768
120.4329,27.41371
95.12358,26.764
81.86533,23.30508
81.97427,22.53711
101.839,22.79537
107.9721,22.54034
138.8487,25.14611
154.9336,27.52833
162.2632,28.55079
172.552,29.69855
186.5075,31.92831
185.7801,31.1994
193.9951,31.73943
202.4547,32.05715
200.0322,30.33837
188.8684,28.12624
207.3938,27.01074
224.9491,27.23975
232.0908,26.08865
256.1305,28.23471
254.7408,28.92574
214.1039,27.69244
188.9753,27.02549
144.4135,27.09164
113.0703,25.48027
99.01496,25.57047
104.6227,28.18415
110.3645,26.30167
130.2598,27.19982
149.1389,28.76329
164.5791,28.77243
178.6283,29.8362
190.4194,31.75482
200.5256,34.5727
190.7315,34.43139
173.7323,35.81113
164.8986,36.52638
